model,language,domain,subdomain,correct,questions,accuracy
google__gemma-3-4b-it,ur,Social Sciences,geography,339,630,53.81
google__gemma-3-4b-it,ur,Social Sciences,health and physical education,330,742,44.47
google__gemma-3-4b-it,ur,Humanities,islamic studies,695,1497,46.43
google__gemma-3-4b-it,ur,STEM,mathematics,393,876,44.86
google__gemma-3-4b-it,ur,Social Sciences,pakistan studies,812,1895,42.85
google__gemma-3-4b-it,ur,STEM,physics,304,621,48.95
google__gemma-3-4b-it,ur,Profession,professional development,223,514,43.39
google__gemma-3-4b-it,ur,Profession,professional studies,266,461,57.7
google__gemma-3-4b-it,ur,Social Sciences,psychology,219,460,47.61
google__gemma-3-4b-it,ur,Social Sciences,psychometrics,54,185,29.19
google__gemma-3-4b-it,ur,Social Sciences,sociology,527,778,67.74
google__gemma-3-4b-it,ur,Humanities,urdu grammar,339,756,44.84
google__gemma-3-4b-it,ur,Humanities,urdu language,1030,2522,40.84
google__gemma-3-4b-it,ur,Humanities,urdu literature,1956,5859,33.38
google__gemma-4-26B-A4B-it,ur,STEM,biology,785,931,84.32
google__gemma-4-26B-A4B-it,ur,STEM,chemistry,822,935,87.91
google__gemma-4-26B-A4B-it,ur,Social Sciences,civics,549,675,81.33
google__gemma-4-26B-A4B-it,ur,Social Sciences,commerce,343,423,81.09
google__gemma-4-26B-A4B-it,ur,STEM,computer science,738,823,89.67
google__gemma-4-26B-A4B-it,ur,Social Sciences,current and international affairs,192,436,44.04
google__gemma-4-26B-A4B-it,ur,Social Sciences,economics,712,907,78.5
google__gemma-4-26B-A4B-it,ur,Social Sciences,education,643,836,76.91
google__gemma-4-26B-A4B-it,ur,Humanities,ethics,170,228,74.56
google__gemma-4-26B-A4B-it,ur,Humanities,fine arts,110,146,75.34
google__gemma-4-26B-A4B-it,ur,Other,general knowledge,980,1365,71.79
google__gemma-4-26B-A4B-it,ur,STEM,general science,805,926,86.93
google__gemma-4-26B-A4B-it,ur,Social Sciences,geography,510,630,80.95
google__gemma-4-26B-A4B-it,ur,Social Sciences,health and physical education,547,742,73.72
google__gemma-4-26B-A4B-it,ur,Humanities,islamic studies,1169,1497,78.09
google__gemma-4-26B-A4B-it,ur,STEM,mathematics,747,876,85.27
google__gemma-4-26B-A4B-it,ur,Social Sciences,pakistan studies,1349,1895,71.19
google__gemma-4-26B-A4B-it,ur,STEM,physics,561,621,90.34
google__gemma-4-26B-A4B-it,ur,Profession,professional development,374,514,72.76
google__gemma-4-26B-A4B-it,ur,Profession,professional studies,384,460,83.48
google__gemma-4-26B-A4B-it,ur,Social Sciences,psychology,388,460,84.35
google__gemma-4-26B-A4B-it,ur,Social Sciences,psychometrics,76,182,41.76
google__gemma-4-26B-A4B-it,ur,Social Sciences,sociology,697,778,89.59
google__gemma-4-26B-A4B-it,ur,Humanities,urdu grammar,528,756,69.84
google__gemma-4-26B-A4B-it,ur,Humanities,urdu language,1649,2522,65.38
google__gemma-4-26B-A4B-it,ur,Humanities,urdu literature,2729,5859,46.58
google__gemma-4-31B-it,ur,STEM,biology,875,931,93.98
google__gemma-4-31B-it,ur,STEM,chemistry,866,936,92.52
google__gemma-4-31B-it,ur,Social Sciences,civics,596,675,88.3
google__gemma-4-31B-it,ur,Social Sciences,commerce,367,423,86.76
google__gemma-4-31B-it,ur,STEM,computer science,777,823,94.41
google__gemma-4-31B-it,ur,Social Sciences,current and international affairs,235,437,53.78
google__gemma-4-31B-it,ur,Social Sciences,economics,768,907,84.67
google__gemma-4-31B-it,ur,Social Sciences,education,688,836,82.3
google__gemma-4-31B-it,ur,Humanities,ethics,188,228,82.46
google__gemma-4-31B-it,ur,Humanities,fine arts,125,146,85.62
google__gemma-4-31B-it,ur,Other,general knowledge,1070,1365,78.39
google__gemma-4-31B-it,ur,STEM,general science,867,926,93.63
google__gemma-4-31B-it,ur,Social Sciences,geography,548,630,86.98
google__gemma-4-31B-it,ur,Social Sciences,health and physical education,607,742,81.81
google__gemma-4-31B-it,ur,Humanities,islamic studies,1261,1497,84.24
google__gemma-4-31B-it,ur,STEM,mathematics,820,876,93.61
google__gemma-4-31B-it,ur,Social Sciences,pakistan studies,1526,1895,80.53
google__gemma-4-31B-it,ur,STEM,physics,594,621,95.65
google__gemma-4-31B-it,ur,Profession,professional development,409,514,79.57
google__gemma-4-31B-it,ur,Profession,professional studies,411,461,89.15
google__gemma-4-31B-it,ur,Social Sciences,psychology,416,460,90.43
google__gemma-4-31B-it,ur,Social Sciences,psychometrics,76,182,41.76
google__gemma-4-31B-it,ur,Social Sciences,sociology,709,778,91.13
google__gemma-4-31B-it,ur,Humanities,urdu grammar,577,756,76.32
google__gemma-4-31B-it,ur,Humanities,urdu language,1797,2522,71.25
google__gemma-4-31B-it,ur,Humanities,urdu literature,3012,5855,51.44
gpt-5.4,ur,STEM,biology,911,931,97.85
gpt-5.4,ur,STEM,chemistry,912,936,97.44
gpt-5.4,ur,Social Sciences,civics,636,675,94.22
gpt-5.4,ur,Social Sciences,commerce,391,423,92.43
gpt-5.4,ur,STEM,computer science,789,823,95.87
gpt-5.4,ur,Social Sciences,current and international affairs,303,437,69.34
gpt-5.4,ur,Social Sciences,economics,852,907,93.94
gpt-5.4,ur,Social Sciences,education,727,836,86.96
gpt-5.4,ur,Humanities,ethics,204,228,89.47
gpt-5.4,ur,Humanities,fine arts,133,148,89.86
gpt-5.4,ur,Other,general knowledge,1143,1365,83.74
gpt-5.4,ur,STEM,general science,887,926,95.79
gpt-5.4,ur,Social Sciences,geography,594,630,94.29
gpt-5.4,ur,Social Sciences,health and physical education,685,742,92.32
gpt-5.4,ur,Humanities,islamic studies,1358,1497,90.71
gpt-5.4,ur,STEM,mathematics,869,876,99.2
